date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:09	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:08%20GMT	http://design4dj.com/robots.txt		(from )
17:15:10	77133/77133	---MCZ	200	added ('OK')	text/html	etag:W/%22135215e-12d4d-5284d2b9f3440%22	http://design4dj.com/tf/groove/	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/index.html	(from )
17:15:10	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:10%20GMT	http://design4dj.com/tf/groove/museutils.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/museutils.js	(from http://design4dj.com/tf/groove/)
17:15:11	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:11%20GMT	http://design4dj.com/tf/groove/jquery.musepolyfill.bgsize.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/jquery.musepolyfill.bgsize.js	(from http://design4dj.com/tf/groove/)
17:15:12	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:12%20GMT	http://design4dj.com/tf/groove/jquery.watch.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/jquery.watch.js	(from http://design4dj.com/tf/groove/)
17:15:13	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:13%20GMT	http://design4dj.com/tf/groove/webpro.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/webpro.js	(from http://design4dj.com/tf/groove/)
17:15:14	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:14%20GMT	http://design4dj.com/tf/groove/musewpslideshow.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/musewpslideshow.js	(from http://design4dj.com/tf/groove/)
17:15:15	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:15%20GMT	http://design4dj.com/tf/groove/jquery.museoverlay.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/jquery.museoverlay.js	(from http://design4dj.com/tf/groove/)
17:15:16	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:16%20GMT	http://design4dj.com/tf/groove/touchswipe.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/touchswipe.js	(from http://design4dj.com/tf/groove/)
17:15:17	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:17%20GMT	http://design4dj.com/tf/groove/jquery.scrolleffects.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/jquery.scrolleffects.js	(from http://design4dj.com/tf/groove/)
17:15:18	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:18%20GMT	http://design4dj.com/tf/groove/musewpdisclosure.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/musewpdisclosure.js	(from http://design4dj.com/tf/groove/)
17:15:19	383/383	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:19%20GMT	http://design4dj.com/tf/groove/museredirect.js	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/museredirect.js	(from http://design4dj.com/tf/groove/)
17:15:20	2350/2350	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2213ea019-92e-5284d2b15e000%22	http://design4dj.com/tf/groove/scripts/museredirect.js?3899419633	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/scripts/museredirect286c.js	(from http://design4dj.com/tf/groove/)
17:15:22	58931/58931	---MCZ	200	added ('OK')	text/html	etag:W/%2213ec65e-e633-5284d2b80afc0%22	http://design4dj.com/tf/groove/tablet/index.html	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/tablet/index.html	(from http://design4dj.com/tf/groove/)
17:15:23	45171/45171	---MCZ	200	added ('OK')	text/html	etag:W/%22137a04f-b073-5284d2a8c8bc0%22	http://design4dj.com/tf/groove/phone/index.html	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/phone/index.html	(from http://design4dj.com/tf/groove/)
17:15:24	385/385	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:24%20GMT	http://www.tools4dj.ru/phone/index.html	/home/krushn/Studio/Websites/Downloads/GDC/www.tools4dj.ru/phone/index.d.delayed	(from http://design4dj.com/tf/groove/)
17:15:25	385/385	---M--	302	error ('Found')	text/html	date:Fri,%2026%20Jul%202019%2011:45:25%20GMT	http://www.tools4dj.ru/tablet/index.html	/home/krushn/Studio/Websites/Downloads/GDC/www.tools4dj.ru/tablet/index.html	(from http://design4dj.com/tf/groove/)
17:15:27	10926/10926	---MCZ	200	added ('OK')	text/css	etag:W/%221366f12-2aae-5284d23193280%22	http://design4dj.com/tf/groove/css/site_global.css?4189418986	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/css/site_globala364.css	(from http://design4dj.com/tf/groove/)
17:15:28	105145/105145	---MCZ	200	added ('OK')	text/css	etag:W/%221366f11-19ab9-5284d2309f040%22	http://design4dj.com/tf/groove/css/index.css?3840792493	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/css/index3b68.css	(from http://design4dj.com/tf/groove/)
17:15:28	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c9ad60edb91963e917f9a693b168ec74%22	http://connect.facebook.net/en_GB/all.js	/home/krushn/Studio/Websites/Downloads/GDC/connect.facebook.net/en_GB/all.js	(from http://design4dj.com/tf/groove/)
17:15:29	77133/77133	---MCZ	200	added ('OK')	text/html	etag:W/%22135215e-12d4d-5284d2b9f3440%22	http://design4dj.com/tf/groove/index.html	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/index-2.html	(from http://design4dj.com/tf/groove/)
17:15:30	353/353	---M--	200	added ('OK')	image/png	etag:%2213780eb-161-5284d24c47180%22	http://design4dj.com/tf/groove/images/icon_home.png	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/images/icon_home.png	(from http://design4dj.com/tf/groove/)
17:15:31	407/407	---M--	200	added ('OK')	image/png	etag:%2213780df-197-5284d2468e400%22	http://design4dj.com/tf/groove/images/icon_about.png	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/images/icon_about.png	(from http://design4dj.com/tf/groove/)
17:15:32	403/403	---M--	200	added ('OK')	image/png	etag:%2213780f3-193-5284d25017a80%22	http://design4dj.com/tf/groove/images/icon_media.png	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/images/icon_media.png	(from http://design4dj.com/tf/groove/)
17:15:33	517/517	---M--	200	added ('OK')	image/png	etag:%2213780f2-205-5284d25017a80%22	http://design4dj.com/tf/groove/images/icon_lineup.png	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/images/icon_lineup.png	(from http://design4dj.com/tf/groove/)
17:15:34	435/435	---M--	200	added ('OK')	image/png	etag:%2213780fb-1b3-5284d253e8380%22	http://design4dj.com/tf/groove/images/icon_ticket.png	/home/krushn/Studio/Websites/Downloads/GDC/design4dj.com/tf/groove/images/icon_ticket.png	(from http://design4dj.com/tf/groove/)
